"","dose","k1","k2"
"1",0.05,0.397340004969045,0.0075800318661653
"2",0.1,0.408448922660352,0.00355054114792641
"3",0.15,0.41955784035166,0.00227835639407204
"4",0.2,0.430666758042968,0.00166309887157455
"5",0.25,0.441775675734276,0.00130281432680326
"6",0.3,0.452884593425584,0.00106719843262169
"7",0.35,0.463993511116892,0.000901559399325513
"8",0.4,0.4751024288082,0.00077900740799691
"9",0.45,0.486211346499508,0.000684813461217679
"10",0.5,0.497320264190816,0.000610247550022916
"11",0.55,0.508429181882124,0.000549813776614994
"12",0.6,0.519538099573432,0.000499883379770377
"13",0.65,0.53064701726474,0.000457965980314998
"14",0.7,0.541755934956047,0.000422296871718092
"15",0.75,0.552864852647355,0.000391591408079726
"16",0.8,0.563973770338663,0.000364892642335524
"17",0.85,0.575082688029971,0.000341473419420719
"18",0.9,0.586191605721279,0.000320771523871884
"19",0.95,0.597300523412587,0.000302345573294698
"20",1,0.608409441103895,0.000285844317680128
